Payment date,Payable month,House,Apartment,Amount of payment
2015-02-01,2014-12,Stone,9,4163.08
2015-02-01,2014-12,Brick,128,566.77
2015-02-01,2014-12,Brick,32,1527.94
2015-02-01,2014-12,Brick,125,1508.22
2015-02-01,2014-12,Brick,114,8157.36
2015-02-01,2014-12,Brick,129,4896.5
2015-02-01,2014-12,Brick,93,1571.32
2015-02-01,2014-12,Brick,135,2070.86
2015-02-02,2014-12,Brick,112,5589.14
2015-02-02,2014-12,Wooden,4,5499.65
2015-02-02,2014-12,Panel,96,4057.39
2015-02-02,2014-12,Brick,88,4978.65
2015-02-02,2014-12,Brick,22,4050.23
2015-02-02,2014-12,Brick,83,836.83
2015-02-02,2014-12,Brick,126,1443.29
2015-02-02,2014-12,Brick,28,5456.6
2015-02-03,2014-12,Brick,50,10054.19
2015-02-03,2014-12,Brick,4,6076.93
2015-02-03,2014-12,Brick,53,2220.55
2015-02-03,2014-12,Panel,46,3225.44
2015-02-03,2014-12,Brick,70,876.69
2015-02-03,2014-12,Brick,124,492.31
2015-02-03,2014-12,Brick,79,3671.61
2015-02-03,2014-12,Stone,2,7427.06
2015-02-04,2014-12,Panel,53,3335.94
2015-02-04,2014-12,Panel,70,4750.45
2015-02-04,2014-12,Brick,80,3455.55
2015-02-04,2014-12,Brick,104,6116.05
2015-02-04,2014-12,Panel,47,3107.14
2015-02-04,2014-12,Brick,55,1960.36
2015-02-04,2014-12,Brick,33,1436.79
2015-02-04,2014-12,Brick,49,5643.78
2015-02-05,2014-12,Brick,25,4975.11
2015-02-05,2014-12,Brick,61,297.16
2015-02-05,2014-12,Panel,15,230.6
2015-02-05,2014-12,Brick,140,2100.58
2015-02-05,2014-12,Panel,13,1863.27
2015-02-05,2014-12,Stone,5,1348.24
2015-02-05,2014-12,Panel,8,725.3
2015-02-05,2014-12,Panel,64,6719.31
2015-02-06,2014-12,Panel,84,3751.45
2015-02-06,2014-12,Brick,122,3433.3
2015-02-06,2014-12,Panel,58,351.84
2015-02-06,2014-12,Panel,21,2259.76
2015-02-06,2014-12,Brick,81,1609.97
2015-02-06,2014-12,Brick,40,2954.21
2015-02-06,2014-12,Brick,18,7400.82
2015-02-06,2014-12,Brick,82,3765.74
2015-02-07,2014-12,Stone,15,1544.95
2015-02-07,2014-12,Brick,8,2479.67
2015-02-07,2014-12,Brick,42,2808.63
2015-02-07,2014-12,Brick,51,4624.11
2015-02-07,2014-12,Panel,10,2654.76
2015-02-07,2014-12,Stone,6,6152.14
2015-02-07,2014-12,Panel,50,3803.32
2015-02-07,2014-12,Brick,96,6028.63
2015-02-08,2014-12,Brick,130,5929.06
2015-02-08,2014-12,Brick,71,4328.17
2015-02-08,2014-12,Brick,66,5190.07
2015-02-08,2014-12,Panel,79,1594.77
2015-02-08,2014-12,Panel,30,1129.49
2015-02-08,2014-12,Brick,47,1807.79
2015-02-08,2014-12,Brick,44,1236.74
2015-02-08,2014-12,Panel,73,5619.97
2015-02-09,2014-12,Panel,18,1151.65
2015-02-09,2014-12,Brick,12,1541.44
2015-02-09,2014-12,Brick,35,4773.7
2015-02-09,2014-12,Brick,92,3957.64
2015-02-09,2014-12,Brick,20,10594.99
2015-02-09,2014-12,Brick,87,1164.4
2015-02-09,2014-12,Brick,64,3446.75
2015-02-09,2014-12,Panel,16,1395.22
2015-02-10,2014-12,Panel,7,258.97
2015-02-10,2014-12,Panel,69,707.96
2015-02-10,2014-12,Brick,65,1511.92
2015-02-10,2014-12,Brick,121,3634.9
2015-02-10,2014-12,Brick,138,3550.86
2015-02-10,2014-12,Panel,59,735.82
2015-02-10,2014-12,Brick,116,2297.87
2015-02-10,2014-12,Panel,88,7247.49
2015-02-11,2014-12,Brick,136,5926.44
2015-02-11,2014-12,Brick,69,699.54
2015-02-11,2014-12,Panel,63,542.59
2015-02-11,2014-12,Brick,119,2725.91
2015-02-11,2014-12,Brick,137,2655.03
2015-02-11,2014-12,Brick,86,6232.63
2015-02-11,2014-12,Brick,26,1034.82
2015-02-11,2014-12,Panel,51,1316.36
2015-02-12,2014-12,Brick,94,2434.32
2015-02-12,2014-12,Brick,2,458.28
2015-02-12,2014-12,Brick,11,1068.21
2015-02-12,2014-12,Panel,86,364.35
2015-02-12,2014-12,Brick,29,9656.69
2015-02-12,2014-12,Panel,93,4113.4
2015-02-12,2014-12,Panel,62,6864.24
2015-02-12,2014-12,Brick,132,2640.75
2015-02-13,2014-12,Brick,43,31.77
2015-02-13,2014-12,Panel,1,749.09
2015-02-13,2014-12,Stone,11,2255.28
2015-02-13,2014-12,Brick,37,1607.54
2015-02-13,2014-12,Panel,75,3641.4
2015-02-13,2014-12,Panel,4,780.0
2015-02-13,2014-12,Panel,41,1096.77
2015-02-13,2014-12,Brick,133,3601.66
2015-02-14,2014-12,Brick,13,9717.49
2015-02-14,2014-12,Brick,100,7629.57
2015-02-14,2014-12,Brick,105,1205.98
2015-02-14,2014-12,Panel,91,7423.0
2015-02-14,2014-12,Panel,39,350.67
2015-02-14,2014-12,Brick,1,6936.05
2015-02-14,2014-12,Wooden,3,3776.26
2015-02-14,2014-12,Panel,3,119.81
2015-02-15,2014-12,Brick,16,6256.44
2015-02-15,2014-12,Panel,81,4058.21
2015-02-15,2014-12,Brick,14,1530.02
2015-02-15,2014-12,Brick,118,3968.17
2015-02-15,2014-12,Panel,27,1249.85
2015-02-15,2014-12,Panel,43,7224.58
2015-02-15,2014-12,Brick,101,499.89
2015-02-15,2014-12,Brick,15,1854.59
2015-02-16,2014-12,Panel,67,1627.78
2015-02-16,2014-12,Brick,103,5121.42
2015-02-16,2014-12,Brick,120,726.42
2015-02-16,2014-12,Panel,32,20.16
2015-02-16,2014-12,Panel,74,918.65
2015-02-16,2014-12,Panel,100,1004.54
2015-02-16,2014-12,Stone,10,1522.05
2015-02-16,2014-12,Panel,31,2088.86
2015-02-17,2014-12,Panel,92,180.64
2015-02-17,2014-12,Brick,102,6482.53
2015-02-17,2014-12,Panel,99,804.34
2015-02-17,2014-12,Wooden,2,2374.67
2015-02-17,2014-12,Brick,115,1265.86
2015-02-17,2014-12,Panel,85,1728.57
2015-02-17,2014-12,Panel,97,1213.52
2015-02-17,2014-12,Brick,73,2545.95
2015-02-18,2014-12,Brick,111,4617.51
2015-02-18,2014-12,Brick,7,321.26
2015-02-18,2014-12,Panel,28,1723.01
2015-02-18,2014-12,Panel,38,3095.69
2015-02-18,2014-12,Panel,20,664.94
2015-02-18,2014-12,Stone,7,8414.16
2015-02-18,2014-12,Brick,6,8311.53
2015-02-18,2014-12,Brick,134,2265.21
2015-02-19,2014-12,Brick,127,1919.67
2015-02-19,2014-12,Panel,24,500.14
2015-02-19,2014-12,Stone,1,0.01
2015-02-19,2014-12,Brick,57,1113.97
2015-02-19,2014-12,Brick,117,1421.26
2015-02-19,2014-12,Panel,76,1065.35
2015-02-19,2014-12,Panel,19,2506.74
2015-02-19,2014-12,Brick,59,766.99
2015-02-20,2014-12,Panel,95,4238.51
2015-02-20,2014-12,Panel,14,4346.73
2015-02-20,2014-12,Wooden,1,5864.56
2015-02-20,2014-12,Brick,48,1020.79
2015-02-20,2014-12,Brick,76,6819.95
2015-02-20,2014-12,Panel,83,3490.58
2015-02-20,2014-12,Panel,56,1140.1
2015-02-20,2014-12,Brick,108,577.12
2015-02-21,2014-12,Brick,97,6692.19
2015-02-21,2014-12,Brick,131,2002.61
2015-02-21,2014-12,Brick,78,4901.38
2015-02-21,2014-12,Brick,75,6632.93
2015-02-21,2014-12,Panel,6,2693.67
2015-02-21,2014-12,Panel,33,2515.95
2015-02-21,2014-12,Brick,110,1201.18
2015-02-21,2014-12,Brick,84,1023.6
2015-02-22,2014-12,Panel,22,3228.93
2015-02-22,2014-12,Panel,2,4502.84
2015-02-22,2014-12,Panel,71,2528.36
2015-02-22,2014-12,Brick,39,1946.64
2015-02-22,2014-12,Panel,52,2085.87
2015-02-22,2014-12,Panel,17,2098.91
2015-02-22,2014-12,Panel,68,7164.41
2015-02-22,2014-12,Stone,8,3324.38
2015-02-23,2014-12,Brick,56,899.45
2015-02-23,2014-12,Panel,82,1549.01
2015-02-23,2014-12,Brick,19,998.67
2015-02-23,2014-12,Brick,5,941.12
