Payment date,Payable month,House,Apartment,Amount of payment
2014-11-01,2014-09,Panel,18,1162.24
2014-11-01,2014-09,Stone,10,1819.62
2014-11-01,2014-09,Panel,80,5170.08
2014-11-01,2014-09,Panel,100,1310.18
2014-11-01,2014-09,Brick,22,3803.68
2014-11-01,2014-09,Panel,96,4772.99
2014-11-01,2014-09,Brick,111,3403.33
2014-11-01,2014-09,Panel,8,300.73
2014-11-02,2014-09,Panel,51,1501.41
2014-11-02,2014-09,Brick,130,4639.28
2014-11-02,2014-09,Stone,7,8764.35
2014-11-02,2014-09,Panel,39,785.92
2014-11-02,2014-09,Panel,46,5548.99
2014-11-02,2014-09,Brick,108,1553.93
2014-11-02,2014-09,Brick,140,3052.69
2014-11-02,2014-09,Brick,37,2069.81
2014-11-03,2014-09,Brick,36,3765.77
2014-11-03,2014-09,Brick,83,2431.77
2014-11-03,2014-09,Brick,125,142.64
2014-11-03,2014-09,Wooden,2,1725.9
2014-11-03,2014-09,Panel,10,150.94
2014-11-03,2014-09,Panel,32,2364.58
2014-11-03,2014-09,Panel,82,1499.65
2014-11-03,2014-09,Brick,26,1297.59
2014-11-04,2014-09,Brick,107,664.33
2014-11-04,2014-09,Brick,94,1868.32
2014-11-04,2014-09,Stone,11,4076.72
2014-11-04,2014-09,Panel,38,87.38
2014-11-04,2014-09,Panel,14,3360.88
2014-11-04,2014-09,Panel,20,1088.27
2014-11-04,2014-09,Brick,60,1111.98
2014-11-04,2014-09,Brick,55,2338.86
2014-11-05,2014-09,Panel,40,840.52
2014-11-05,2014-09,Panel,73,1330.77
2014-11-05,2014-09,Panel,90,6901.89
2014-11-05,2014-09,Brick,124,1334.3
2014-11-05,2014-09,Brick,71,251.93
2014-11-05,2014-09,Panel,6,5431.86
2014-11-05,2014-09,Panel,91,1295.98
2014-11-05,2014-09,Brick,49,452.81
2014-11-06,2014-09,Panel,72,2577.98
2014-11-06,2014-09,Brick,74,4118.2
2014-11-06,2014-09,Brick,116,5187.33
2014-11-06,2014-09,Panel,49,2776.58
2014-11-06,2014-09,Panel,53,1740.23
2014-11-06,2014-09,Panel,75,1823.8
2014-11-06,2014-09,Brick,133,3859.15
2014-11-06,2014-09,Brick,91,81.07
2014-11-07,2014-09,Brick,15,3326.77
2014-11-07,2014-09,Brick,7,525.98
2014-11-07,2014-09,Brick,137,5992.53
2014-11-07,2014-09,Panel,83,6832.71
2014-11-07,2014-09,Panel,95,3396.23
2014-11-07,2014-09,Panel,97,947.58
2014-11-07,2014-09,Stone,8,2723.87
2014-11-07,2014-09,Panel,59,1485.77
2014-11-08,2014-09,Brick,72,1137.09
2014-11-08,2014-09,Brick,113,3844.18
2014-11-08,2014-09,Brick,127,346.07
2014-11-08,2014-09,Panel,67,1938.85
2014-11-08,2014-09,Panel,27,8886.56
2014-11-08,2014-09,Panel,76,1094.6
2014-11-08,2014-09,Panel,12,3120.84
2014-11-08,2014-09,Brick,44,4408.62
2014-11-09,2014-09,Panel,2,4397.88
2014-11-09,2014-09,Brick,9,1568.21
2014-11-09,2014-09,Panel,79,2104.05
2014-11-09,2014-09,Brick,70,1373.02
2014-11-09,2014-09,Brick,3,4010.81
2014-11-09,2014-09,Panel,86,15.81
2014-11-09,2014-09,Panel,63,2563.32
2014-11-09,2014-09,Brick,51,1609.53
2014-11-10,2014-09,Brick,23,6457.08
2014-11-10,2014-09,Brick,103,1904.58
2014-11-10,2014-09,Panel,13,3815.31
2014-11-10,2014-09,Stone,5,2116.17
2014-11-10,2014-09,Panel,17,2144.41
2014-11-10,2014-09,Brick,20,50.48
2014-11-10,2014-09,Brick,34,8573.05
2014-11-10,2014-09,Panel,26,4818.66
2014-11-11,2014-09,Panel,3,3019.92
2014-11-11,2014-09,Panel,87,1738.5
2014-11-11,2014-09,Brick,38,2849.87
2014-11-11,2014-09,Panel,4,772.17
2014-11-11,2014-09,Panel,57,1549.79
2014-11-11,2014-09,Brick,41,1446.05
2014-11-11,2014-09,Panel,35,10923.05
2014-11-11,2014-09,Stone,4,3388.29
2014-11-12,2014-09,Brick,120,212.07
2014-11-12,2014-09,Brick,118,1689.97
2014-11-12,2014-09,Panel,50,3590.65
2014-11-12,2014-09,Brick,101,1281.26
2014-11-12,2014-09,Panel,44,204.9
2014-11-12,2014-09,Stone,9,23.13
2014-11-12,2014-09,Brick,109,2385.75
2014-11-12,2014-09,Brick,56,264.69
2014-11-13,2014-09,Brick,105,2163.81
2014-11-13,2014-09,Brick,129,7220.88
2014-11-13,2014-09,Brick,24,632.14
2014-11-13,2014-09,Stone,13,6013.8
2014-11-13,2014-09,Brick,110,2172.25
2014-11-13,2014-09,Brick,123,4884.2
2014-11-13,2014-09,Brick,78,6028.29
2014-11-13,2014-09,Brick,27,550.13
2014-11-14,2014-09,Brick,98,713.27
2014-11-14,2014-09,Stone,2,4585.68
2014-11-14,2014-09,Brick,54,124.76
2014-11-14,2014-09,Brick,29,1608.68
2014-11-14,2014-09,Panel,74,1208.65
2014-11-14,2014-09,Panel,29,6200.81
2014-11-14,2014-09,Panel,47,4156.89
2014-11-14,2014-09,Brick,106,5052.85
2014-11-15,2014-09,Panel,43,5105.07
2014-11-15,2014-09,Brick,69,1222.69
2014-11-15,2014-09,Brick,114,1395.62
2014-11-15,2014-09,Stone,1,2174.09
2014-11-15,2014-09,Panel,81,3240.96
2014-11-15,2014-09,Brick,128,1172.41
2014-11-15,2014-09,Brick,46,2295.42
2014-11-15,2014-09,Brick,12,4072.81
2014-11-16,2014-09,Brick,16,2424.51
2014-11-16,2014-09,Brick,8,3986.27
2014-11-16,2014-09,Brick,76,10589.16
2014-11-16,2014-09,Wooden,3,5364.58
2014-11-16,2014-09,Brick,64,304.54
2014-11-16,2014-09,Stone,15,2360.13
2014-11-16,2014-09,Panel,92,475.89
2014-11-16,2014-09,Panel,16,971.19
2014-11-17,2014-09,Panel,77,186.72
2014-11-17,2014-09,Panel,34,1060.78
2014-11-17,2014-09,Brick,96,6933.85
2014-11-17,2014-09,Brick,135,333.54
2014-11-17,2014-09,Panel,84,6471.6
2014-11-17,2014-09,Stone,6,6480.78
2014-11-17,2014-09,Brick,2,3664.9
2014-11-17,2014-09,Panel,60,504.37
2014-11-18,2014-10,Brick,89,1429.26
2014-11-18,2014-10,Panel,32,2511.6
2014-11-18,2014-10,Panel,48,1049.46
2014-11-18,2014-10,Brick,28,4437.62
2014-11-18,2014-10,Panel,69,90.82
2014-11-18,2014-10,Panel,89,4842.81
2014-11-18,2014-10,Brick,35,10427.15
2014-11-18,2014-10,Stone,8,4062.75
2014-11-19,2014-10,Panel,82,1048.89
2014-11-19,2014-10,Panel,88,8403.49
2014-11-19,2014-10,Brick,56,1673.05
2014-11-19,2014-10,Brick,23,48.61
2014-11-19,2014-10,Panel,70,3438.56
2014-11-19,2014-10,Brick,47,2819.45
2014-11-19,2014-10,Brick,137,2932.65
2014-11-19,2014-10,Panel,56,1212.31
2014-11-20,2014-10,Brick,53,2058.74
2014-11-20,2014-10,Panel,17,3188.31
2014-11-20,2014-10,Stone,6,6841.55
2014-11-20,2014-10,Brick,138,1830.9
2014-11-20,2014-10,Wooden,3,4305.52
2014-11-20,2014-10,Brick,1,4836.18
2014-11-20,2014-10,Brick,135,6735.61
2014-11-20,2014-10,Panel,80,772.33
2014-11-21,2014-10,Panel,1,735.67
2014-11-21,2014-10,Wooden,1,1825.7
2014-11-21,2014-10,Brick,51,1485.78
2014-11-21,2014-10,Brick,128,2872.49
2014-11-21,2014-10,Brick,131,1976.72
2014-11-21,2014-10,Panel,44,2568.66
2014-11-21,2014-10,Panel,14,2718.03
2014-11-21,2014-10,Panel,78,708.63
2014-11-22,2014-10,Panel,49,7264.8
2014-11-22,2014-10,Panel,100,1290.05
2014-11-22,2014-10,Brick,37,4950.49
2014-11-22,2014-10,Panel,13,3205.75
2014-11-22,2014-10,Brick,14,1209.51
2014-11-22,2014-10,Panel,43,3704.05
2014-11-22,2014-10,Brick,109,2697.21
2014-11-22,2014-10,Brick,82,22.07
2014-11-23,2014-10,Brick,84,1788.97
2014-11-23,2014-10,Brick,43,2220.19
2014-11-23,2014-10,Panel,33,242.68
2014-11-23,2014-10,Brick,90,5198.02
2014-11-23,2014-10,Panel,71,3355.62
2014-11-23,2014-10,Brick,93,3043.72
2014-11-23,2014-10,Stone,4,1550.62
2014-11-23,2014-10,Brick,134,2002.35
2014-11-24,2014-10,Panel,23,2820.51
2014-11-24,2014-10,Brick,126,1153.17
2014-11-24,2014-10,Panel,35,3782.55
2014-11-24,2014-10,Brick,49,520.83
2014-11-24,2014-10,Brick,105,806.04
2014-11-24,2014-10,Brick,121,2254.06
2014-11-24,2014-10,Wooden,2,838.89
2014-11-24,2014-10,Panel,63,5646.12
2014-11-25,2014-10,Brick,57,859.33
2014-11-25,2014-10,Panel,9,175.77
2014-11-25,2014-10,Brick,79,2264.8
2014-11-25,2014-10,Brick,88,114.09
2014-11-25,2014-10,Brick,13,2472.76
2014-11-25,2014-10,Brick,140,3034.39
2014-11-25,2014-10,Brick,62,2508.01
2014-11-25,2014-10,Brick,30,1510.02
2014-11-26,2014-10,Panel,20,1162.37
2014-11-26,2014-10,Brick,10,2663.15
2014-11-26,2014-10,Brick,114,4092.85
2014-11-26,2014-10,Brick,92,5173.55
2014-11-26,2014-10,Panel,5,3088.47
2014-11-26,2014-10,Brick,99,8135.15
2014-11-26,2014-10,Brick,36,2397.98
2014-11-26,2014-10,Panel,75,2054.99
2014-11-27,2014-10,Panel,66,2833.43
2014-11-27,2014-10,Panel,84,195.99
2014-11-27,2014-10,Brick,72,1781.42
2014-11-27,2014-10,Brick,18,2301.5
2014-11-27,2014-10,Brick,7,817.31
2014-11-27,2014-10,Brick,139,1097.56
2014-11-27,2014-10,Panel,34,1773.84
2014-11-27,2014-10,Brick,16,7751.11
2014-11-28,2014-10,Panel,36,3088.33
2014-11-28,2014-10,Brick,5,2978.01
2014-11-28,2014-10,Brick,8,578.05
2014-11-28,2014-10,Brick,52,1661.36
2014-11-28,2014-10,Panel,25,1066.02
2014-11-28,2014-10,Brick,108,1025.86
2014-11-28,2014-10,Brick,94,1176.48
2014-11-28,2014-10,Brick,127,1599.58
2014-11-29,2014-10,Panel,97,1763.11
2014-11-29,2014-10,Brick,42,3415.64
2014-11-29,2014-10,Panel,41,522.41
2014-11-29,2014-10,Panel,85,7980.05
2014-11-29,2014-10,Brick,67,991.66
2014-11-29,2014-10,Panel,31,2378.42
2014-11-29,2014-10,Brick,44,3904.41
2014-11-29,2014-10,Panel,53,2503.75
2014-11-30,2014-10,Brick,63,3803.09
2014-11-30,2014-10,Brick,54,895.01
2014-11-30,2014-10,Brick,110,4517.33
2014-11-30,2014-10,Panel,57,1379.0
2014-11-30,2014-10,Brick,101,4478.47
2014-11-30,2014-10,Brick,45,1216.01
2014-11-30,2014-10,Panel,96,3894.46
2014-11-30,2014-10,Brick,112,1929.0
